Metric,full_dataset/densenet121,full_dataset/vit_b_16,subset_1000/densenet121,subset_1000/vit_b_16,subset_10000/densenet121,subset_10000/vit_b_16,subset_5000/densenet121,subset_5000/vit_b_16
auroc,0.7951,0.7671,0.5961,0.6533,0.6674,0.6816,0.6708,0.7116
auprc,0.2923,0.2501,0.2145,0.2208,0.1937,0.1903,0.1912,0.2101
precision,0.3152,0.2546,0.1244,0.1142,0.1619,0.1715,0.1608,0.1803
recall,0.4613,0.4466,0.3157,0.3587,0.4436,0.3818,0.3841,0.4988
f1,0.3417,0.309,0.1511,0.1586,0.2257,0.22,0.2021,0.2295
samples_f1,0.4698,0.4386,0.363,0.3785,0.3906,0.3878,0.307,0.2939
subset_accuracy,0.1654,0.1332,0.005,0.0347,0.0783,0.1083,0.058,0.0246
hamming_loss,0.1515,0.1664,0.2261,0.2297,0.2301,0.2125,0.2366,0.2848
